Area,Property Type,Property Sub Type,Amount,Transaction Size (sq.m),Property Size (sq.m),Room(s),Hcost
TOWN SQUARE,Unit,Flat,1888358.49,55.84,55.84,1 B/R,0.22
TOWN SQUARE,Unit,Flat,1888358.49,55.59,55.59,1 B/R,0.25
TOWN SQUARE,Unit,Flat,1888358.49,55.18,55.18,1 B/R,0.31
TOWN SQUARE,Unit,Flat,1888358.49,59.51,59.51,1 B/R,0.48
TOWN SQUARE,Unit,Flat,1888358.49,58.5,58.5,1 B/R,0.23
TOWN SQUARE,Unit,Flat,1888358.49,84.75,84.75,2 B/R,0.25
TOWN SQUARE,Unit,Flat,1888358.49,85.39,85.39,2 B/R,0.55
TOWN SQUARE,Unit,Flat,1888358.49,82.15,82.15,2 B/R,0.4
TOWN SQUARE,Unit,Flat,1888358.49,55.53,55.53,1 B/R,0.02
TOWN SQUARE,Unit,Flat,1888358.49,56.27,56.27,1 B/R,0.19
TOWN SQUARE,Unit,Flat,1888358.49,55.78,55.78,1 B/R,0.05
TOWN SQUARE,Unit,Flat,1888358.49,55.94,55.94,1 B/R,0.17
TOWN SQUARE,Unit,Flat,1888358.49,85.35,85.35,2 B/R,0.05
TOWN SQUARE,Unit,Flat,1888358.49,125.06,125.06,3 B/R,0.53
TOWN SQUARE,Unit,Flat,1888358.49,118.51,118.51,3 B/R,0.5
TOWN SQUARE,Unit,Flat,1888358.49,89.7,89.7,2 B/R,0.03
TOWN SQUARE,Unit,Flat,1888358.49,84.82,84.82,2 B/R,0.42
TOWN SQUARE,Unit,Flat,1888358.49,85.42,85.42,2 B/R,0.09
TOWN SQUARE,Unit,Flat,1888358.49,89.12,89.12,2 B/R,0.52
TOWN SQUARE,Unit,Flat,1888358.49,119.2,119.2,3 B/R,0.54
TOWN SQUARE,Unit,Flat,1888358.49,85.32,85.32,2 B/R,0.02
TOWN SQUARE,Unit,Flat,1888358.49,86.42,86.42,2 B/R,0.03
TOWN SQUARE,Unit,Flat,1888358.49,83.81,83.81,2 B/R,0.55
TOWN SQUARE,Unit,Flat,1888358.49,61.28,61.28,1 B/R,0.56
TOWN SQUARE,Unit,Flat,1888358.49,58.69,58.69,1 B/R,0.1
TOWN SQUARE,Unit,Flat,1888358.49,89.22,89.22,2 B/R,0.6
TOWN SQUARE,Unit,Flat,1888358.49,58.5,58.5,1 B/R,0.25
TOWN SQUARE,Unit,Flat,1888358.49,85.26,85.26,2 B/R,0.29
TOWN SQUARE,Building,Villa,1888358.49,270.54,270.54,4 B/R,0.07
TOWN SQUARE,Building,Villa,1888358.49,268.73,268.73,4 B/R,0.03
TOWN SQUARE,Building,Villa,1888358.49,213.03,213.03,4 B/R,0.43
TOWN SQUARE,Building,Villa,1888358.49,212.95,212.95,4 B/R,0.49
TOWN SQUARE,Building,Villa,1888358.49,268.99,268.99,4 B/R,0.34
TOWN SQUARE,Building,Villa,1888358.49,188.64,188.64,3 B/R,0.52
TOWN SQUARE,Building,Villa,1888358.49,188.75,188.75,3 B/R,0.05
TOWN SQUARE,Building,Villa,1888358.49,272.3,272.3,4 B/R,0.22
TOWN SQUARE,Building,Villa,1888358.49,188.24,188.24,3 B/R,0.59
TOWN SQUARE,Building,Villa,1888358.49,187.83,187.83,3 B/R,0.38
TOWN SQUARE,Building,Villa,1888358.49,188.38,188.38,3 B/R,0.44
TOWN SQUARE,Building,Villa,1888358.49,191.23,191.23,3 B/R,0.17
TOWN SQUARE,Building,Villa,1888358.49,190.66,190.66,3 B/R,0.26
TOWN SQUARE,Building,Villa,1888358.49,188.27,188.27,3 B/R,0.39
TOWN SQUARE,Building,Villa,1888358.49,272.18,272.18,4 B/R,0.31
TOWN SQUARE,Building,Villa,1888358.49,266.27,266.27,4 B/R,0.36
TOWN SQUARE,Building,Villa,1888358.49,188.07,188.07,3 B/R,0.35
TOWN SQUARE,Building,Villa,1888358.49,261.45,261.45,4 B/R,0.35
TOWN SQUARE,Building,Villa,1888358.49,188.12,188.12,3 B/R,0.31
TOWN SQUARE,Building,Villa,1888358.49,188.05,188.05,3 B/R,0.33
TOWN SQUARE,Building,Villa,1888358.49,190.19,190.19,3 B/R,0.41
TOWN SQUARE,Building,Villa,1888358.49,188.92,188.92,3 B/R,0.49
TOWN SQUARE,Building,Villa,1888358.49,188.92,188.92,3 B/R,0.31
TOWN SQUARE,Building,Villa,1888358.49,188.14,188.14,3 B/R,0.22
TOWN SQUARE,Building,Villa,1888358.49,188.25,188.25,3 B/R,0.38
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.4,81.4,2 B/R,0.01
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.14,114.14,3 B/R,0.31
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.31
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.09
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.6,113.6,3 B/R,0.37
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.09,81.09,2 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,100.67,100.67,3 B/R,0.12
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.87,101.87,3 B/R,0.27
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.9,101.9,3 B/R,0.19
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.08
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.36
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.39,81.39,2 B/R,0.35
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.21
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.17,114.17,3 B/R,0.36
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.8,63.8,2 B/R,0.45
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.41
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.07
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,96.03,96.03,3 B/R,0.46
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.11,81.11,2 B/R,0.25
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.24
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.87,101.87,3 B/R,0.07
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.33
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.9,101.9,3 B/R,0.19
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.29
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.19
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.4,81.4,2 B/R,0.55
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.5
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.17,114.17,3 B/R,0.26
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.8,63.8,2 B/R,0.38
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.35
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.72,113.72,3 B/R,0.58
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.31
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.23
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.07
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.88,101.88,3 B/R,0.58
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.42
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.9,101.9,3 B/R,0.33
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.32
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.43
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.39,81.39,2 B/R,0.23
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.72,113.72,3 B/R,0.04
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.43
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.22
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.88,101.88,3 B/R,0.02
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.51
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.9,101.9,3 B/R,0.15
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.52
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.5
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.39,81.39,2 B/R,0.44
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.45
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.17,114.17,3 B/R,0.16
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.8,63.8,2 B/R,0.36
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.52
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,96.03,96.03,3 B/R,0.08
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.11,81.11,2 B/R,0.18
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.16
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.87,101.87,3 B/R,0.24
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.02
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.9,101.9,3 B/R,0.25
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.37
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.53
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.4,81.4,2 B/R,0.21
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.35
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.17,114.17,3 B/R,0.08
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.8,63.8,2 B/R,0.25
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.4
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.72,113.72,3 B/R,0.46
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.17
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.27
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.55
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.88,101.88,3 B/R,0.07
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.38
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.9,101.9,3 B/R,0.54
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.17
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.03
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.39,81.39,2 B/R,0.37
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.45
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.17,114.17,3 B/R,0.09
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.8,63.8,2 B/R,0.05
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.57
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.23
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,96.03,96.03,3 B/R,0.4
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.11,81.11,2 B/R,0.28
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.28
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.87,101.87,3 B/R,0.34
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.48
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.17,114.17,3 B/R,0.35
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.8,63.8,2 B/R,0.46
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.34
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.32
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,96.03,96.03,3 B/R,0.1
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.11,81.11,2 B/R,0.46
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.48
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.87,101.87,3 B/R,0.34
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.23
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.9,101.9,3 B/R,0.05
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.02,101.02,3 B/R,0.53
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.94,95.94,3 B/R,0.02
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.4,81.4,2 B/R,0.06
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.86,95.86,3 B/R,0.28
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.17,114.17,3 B/R,0.52
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.8,63.8,2 B/R,0.01
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.82,63.82,2 B/R,0.21
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.89,101.89,3 B/R,0.17
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,100.68,100.68,3 B/R,0.51
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.84,101.84,3 B/R,0.16
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.53
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.19
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.37,81.37,2 B/R,0.1
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.55
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.06,114.06,3 B/R,0.18
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.76,63.76,2 B/R,0.3
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.48
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.33
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.59
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.25
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.81,101.81,3 B/R,0.23
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.34
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.84,101.84,3 B/R,0.41
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.57
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.04
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.37,81.37,2 B/R,0.15
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.44
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.06,114.06,3 B/R,0.55
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.76,63.76,2 B/R,0.22
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.46
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.12
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.09
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.25
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.37,81.37,2 B/R,0.47
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.8,101.8,3 B/R,0.08
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,100.88,100.88,3 B/R,0.13
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.35,81.35,2 B/R,0.21
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.02,114.02,3 B/R,0.56
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.74,63.74,2 B/R,0.34
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.37
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.37
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.06,114.06,3 B/R,0.52
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.76,63.76,2 B/R,0.21
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.33
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.17
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.4
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.29
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.03
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.81,101.81,3 B/R,0.19
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.59
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.84,101.84,3 B/R,0.28
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.44
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.38
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.37,81.37,2 B/R,0.53
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.05
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.06,114.06,3 B/R,0.15
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.76,63.76,2 B/R,0.03
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.22
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.57
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.36
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.28
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.03
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.81,101.81,3 B/R,0.32
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.37
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.07
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.06,114.06,3 B/R,0.08
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.76,63.76,2 B/R,0.14
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.56
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.34
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.12
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.01
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.3
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.81,101.81,3 B/R,0.09
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.18
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.84,101.84,3 B/R,0.42
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.27
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.58
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.37,81.37,2 B/R,0.38
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.61,113.61,3 B/R,0.46
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.04,81.04,2 B/R,0.53
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,100.87,100.87,3 B/R,0.05
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.77,101.77,3 B/R,0.18
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.84,101.84,3 B/R,0.11
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.15
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.25
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.37,81.37,2 B/R,0.04
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.39
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.06,114.06,3 B/R,0.01
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.76,63.76,2 B/R,0.53
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.11
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.45
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.41
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.47
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.1
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.81,101.81,3 B/R,0.36
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.19
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.84,101.84,3 B/R,0.58
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.12
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.37,81.37,2 B/R,0.6
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.13
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,114.06,114.06,3 B/R,0.06
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.76,63.76,2 B/R,0.11
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,63.78,63.78,2 B/R,0.22
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.31
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.31
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.81,101.81,3 B/R,0.49
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.32
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.84,101.84,3 B/R,0.27
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.21
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,113.71,113.71,3 B/R,0.06
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.75,95.75,3 B/R,0.04
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,81.14,81.14,2 B/R,0.47
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,95.76,95.76,3 B/R,0.2
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.81,101.81,3 B/R,0.43
DUBAI PRODUCTION CITY,Unit,Flat,565740.74,101.03,101.03,3 B/R,0.5
SUSTAINABLE CITY,Building,Villa,3289444.44,216.01,216.01,4 B/R,0.09
SUSTAINABLE CITY,Building,Villa,3289444.44,215.24,215.24,4 B/R,0.09
SUSTAINABLE CITY,Building,Villa,3289444.44,215.17,215.17,4 B/R,0.18
SUSTAINABLE CITY,Building,Villa,3289444.44,218.12,218.12,4 B/R,0.06
SUSTAINABLE CITY,Building,Villa,3289444.44,216.25,216.25,4 B/R,0.02
SUSTAINABLE CITY,Building,Villa,3289444.44,192.78,192.78,3 B/R,0.2
SUSTAINABLE CITY,Building,Villa,3289444.44,214.49,214.49,4 B/R,0.15
SUSTAINABLE CITY,Building,Villa,3289444.44,194.75,194.75,3 B/R,0.12
SUSTAINABLE CITY,Building,Villa,3289444.44,215.28,215.28,4 B/R,0.11
SUSTAINABLE CITY,Building,Villa,3289444.44,214.52,214.52,4 B/R,0.03
SUSTAINABLE CITY,Building,Villa,3289444.44,215.73,215.73,4 B/R,0.19
SUSTAINABLE CITY,Building,Villa,3289444.44,214.86,214.86,4 B/R,0.04
SUSTAINABLE CITY,Building,Villa,3289444.44,214.71,214.71,4 B/R,0.03
SUSTAINABLE CITY,Building,Villa,3289444.44,194.04,194.04,3 B/R,0.04
SUSTAINABLE CITY,Building,Villa,3289444.44,216.22,216.22,4 B/R,0.11
SUSTAINABLE CITY,Building,Villa,3289444.44,215.7,215.7,4 B/R,0.15
SUSTAINABLE CITY,Building,Villa,3289444.44,217.95,217.95,4 B/R,0.06
SUSTAINABLE CITY,Building,Villa,3289444.44,194.98,194.98,3 B/R,0.1
SUSTAINABLE CITY,Building,Villa,3125000,215.75,215.75,4 B/R,0.02
SUSTAINABLE CITY,Building,Villa,3125000,194.62,194.62,3 B/R,0.14
SUSTAINABLE CITY,Building,Villa,3125000,196.42,196.42,3 B/R,0.11
SUSTAINABLE CITY,Building,Villa,3125000,197.1,197.1,3 B/R,0.16
SUSTAINABLE CITY,Building,Villa,3125000,196.18,196.18,3 B/R,0.06
SUSTAINABLE CITY,Building,Villa,3125000,215.32,215.32,4 B/R,0.05
SUSTAINABLE CITY,Building,Villa,3125000,215.4,215.4,4 B/R,0.07
SUSTAINABLE CITY,Building,Villa,3125000,215.04,215.04,4 B/R,0.15
SUSTAINABLE CITY,Building,Villa,3125000,216.11,216.11,4 B/R,0.2
SUSTAINABLE CITY,Building,Villa,3125000,192.96,192.96,3 B/R,0.19
SUSTAINABLE CITY,Building,Villa,3125000,216.02,216.02,4 B/R,0.05
SUSTAINABLE CITY,Building,Villa,3125000,216.91,216.91,4 B/R,0.04
SUSTAINABLE CITY,Building,Villa,3125000,215.32,215.32,4 B/R,0.12
SUSTAINABLE CITY,Building,Villa,3125000,215.84,215.84,4 B/R,0.1
SUSTAINABLE CITY,Building,Villa,3125000,216.54,216.54,4 B/R,0.07
SUSTAINABLE CITY,Building,Villa,3125000,196.02,196.02,3 B/R,0.11
PALM JUMEIRAH,Unit,Flat,6550000,207.18,207.18,PENTHOUSE,0.01
PALM JUMEIRAH,Unit,Flat,6550000,132.07,132.07,PENTHOUSE,0.04
